id,winning_party,points,time_stamp
1,Re,0,2024-07-12 13:50:00
2,Re,2,2024-07-12 13:55:00
3,Re,7,2024-07-12 14:00:00
4,Kontra,4,2024-07-12 14:05:00
5,Kontra,1,2024-07-15 11:19:39
6,Re,0,2024-07-15 11:31:32
7,Re,3,2024-07-16 11:44:51
8,Re,3,2024-07-16 11:54:14
9,Kontra,1,2024-07-16 12:06:36
10,Kontra,3,2024-07-17 11:58:19
11,Re,3,2024-07-17 12:08:06
12,Kontra,2,2024-07-18 11:49:13
13,Kontra,6,2024-07-18 12:00:53
14,Re,1,2024-07-18 12:04:43
15,Kontra,4,2024-07-18 12:10:38
16,Re,1,2024-07-18 14:15:21
17,Re,2,2024-07-19 07:54:38
18,Kontra,2,2024-07-22 13:47:26
19,Kontra,4,2024-07-22 13:55:36
20,Kontra,5,2024-07-22 14:03:17
21,Re,8,2024-07-23 13:42:14
22,Re,1,2024-07-23 13:47:35
23,Kontra,2,2024-07-23 13:54:49
24,Re,4,2024-07-23 14:00:59
25,Re,1,2024-07-24 12:56:35
26,Re,1,2024-07-24 13:07:51
27,Re,2,2024-07-24 13:14:10
28,Kontra,2,2024-07-24 13:23:54
29,Re,2,2024-07-24 15:56:31
30,Re,4,2024-07-24 16:08:18
31,Re,4,2024-07-24 16:18:26
32,Re,2,2024-07-25 13:56:19
33,Kontra,2,2024-07-25 14:05:06
34,Re,1,2024-07-25 16:01:17
35,Re,0,2024-07-25 16:08:53
36,Re,6,2024-07-26 14:10:56
37,Re,6,2024-07-26 14:20:45
38,Re,5,2024-07-26 14:27:26
39,Kontra,4,2024-07-26 14:37:26
40,Kontra,3,2024-07-26 14:47:43
41,Re,5,2024-07-26 14:55:54
42,Kontra,2,2024-07-26 15:04:41
43,Re,0,2024-07-26 15:12:17
44,Re,2,2024-07-29 13:21:33
45,Re,3,2024-07-29 13:32:03
46,Re,4,2024-07-29 13:43:47
47,Re,2,2024-07-30 13:08:48
48,Kontra,2,2024-07-30 13:17:11
49,Re,3,2024-07-30 13:25:38
50,Re,3,2024-07-30 13:34:24
51,Re,1,2024-07-30 13:39:16
52,Re,5,2024-07-31 15:10:14
53,Kontra,2,2024-07-31 15:19:33
54,Kontra,7,2024-07-31 15:27:46
55,Kontra,5,2024-07-31 15:35:45
56,Kontra,6,2024-08-01 12:50:52
57,Re,5,2024-08-01 12:58:55
58,Re,5,2024-08-01 13:05:54
59,Re,1,2024-08-01 13:16:29
60,Kontra,2,2024-08-01 13:26:48
61,Re,4,2024-08-01 13:37:56
62,Re,3,2024-08-01 13:47:09
63,Re,1,2024-08-01 17:45:38
64,Re,1,2024-08-01 17:52:35
65,Re,4,2024-08-01 18:02:19
66,Re,2,2024-08-01 18:15:11
67,Re,3,2024-08-01 18:23:24
68,Re,3,2024-08-23 11:20:16
69,Re,4,2024-08-23 11:31:13
70,Re,1,2024-08-23 11:41:44
71,Kontra,3,2024-08-23 11:51:12
72,Kontra,3,2024-08-23 11:58:20
73,Kontra,4,2024-09-09 20:41:31
74,Re,3,2024-09-09 20:54:48
75,Re,5,2024-09-09 21:05:18
76,Re,1,2024-09-09 21:18:20
77,Re,1,2024-09-09 21:26:36
78,Kontra,4,2024-09-09 21:38:52
79,Re,2,2024-09-09 22:13:30
80,Kontra,5,2024-09-09 22:23:40
81,Re,3,2024-09-09 22:42:10
82,Kontra,5,2024-09-09 22:55:38
83,Re,5,2024-09-09 23:05:51
84,Re,3,2024-09-09 23:14:59
85,Re,4,2024-09-10 14:19:24
86,Re,4,2024-09-10 14:38:57
87,Re,4,2024-09-10 14:57:25
88,Re,1,2024-09-10 20:42:50
89,Re,2,2024-09-13 12:41:36
90,Re,1,2024-09-13 12:52:56
91,Re,3,2024-09-13 13:02:27
92,Kontra,3,2024-09-13 13:10:46
93,Kontra,3,2024-09-13 13:18:39
94,Kontra,3,2024-09-13 13:29:48
95,Re,1,2024-09-13 13:37:13
96,Re,1,2024-09-13 13:42:08
97,Kontra,5,2024-09-17 13:50:39
98,Kontra,4,2024-09-17 13:59:33
99,Kontra,5,2024-09-17 14:06:56
100,Kontra,5,2024-09-17 14:16:10
101,Re,3,2024-09-22 18:00:04
102,Kontra,4,2024-09-22 18:01:24
103,Kontra,2,2024-09-22 18:08:36
104,Re,7,2024-09-22 18:20:40
105,Kontra,3,2024-09-22 18:30:33
106,Re,2,2024-09-22 18:42:16
107,Re,3,2024-09-22 18:53:26
108,Re,2,2024-09-22 19:03:45
109,Re,0,2024-09-22 19:13:56
110,Re,4,2024-09-22 19:25:39
111,Kontra,5,2024-09-22 19:41:17
112,Kontra,2,2024-09-22 19:56:55
113,Re,4,2024-09-23 19:42:33
114,Kontra,7,2024-09-23 19:57:41
115,Re,2,2024-09-24 18:16:48
116,Re,4,2024-09-24 18:26:22
117,Re,4,2024-09-24 18:34:58
118,Re,1,2024-09-24 18:43:11
119,Re,2,2024-09-24 18:57:09
120,Kontra,1,2024-09-24 19:08:45
121,Re,2,2024-09-24 19:20:41
122,Re,1,2024-09-24 19:34:55
123,Kontra,4,2024-09-24 19:45:45
124,Kontra,2,2024-09-24 20:01:31
125,Re,5,2024-09-24 20:09:22
126,Re,4,2024-09-25 10:28:59
127,Kontra,1,2024-09-25 10:36:39
128,Re,5,2024-09-25 10:46:46
129,Re,2,2024-09-25 10:53:44
130,Re,2,2024-09-25 11:03:24
131,Re,1,2024-09-25 11:16:18
132,Kontra,4,2024-09-25 11:25:06
