round_id,team_id,position,party
1,1,1,Re
1,2,2,Kontra
1,3,3,Kontra
1,4,4,Kontra
2,1,1,Kontra
2,2,2,Kontra
2,3,3,Kontra
2,4,4,Re
3,1,1,Re
3,2,2,Kontra
3,3,3,Re
3,4,4,Kontra
4,1,1,Re
4,2,2,Kontra
4,3,3,Kontra
4,4,4,Kontra
5,5,1,Re
5,6,2,Kontra
5,7,3,Kontra
5,8,4,Kontra
6,5,1,Kontra
6,6,2,Kontra
6,7,3,Re
6,8,4,Re
7,4,1,Re
7,9,2,Kontra
7,10,3,Re
7,11,4,Kontra
8,4,1,Kontra
8,9,2,Re
8,10,3,Kontra
8,11,4,Re
9,4,1,Re
9,9,2,Kontra
9,10,3,Kontra
9,11,4,Re
10,8,1,Kontra
10,12,2,Kontra
10,13,3,Re
10,4,4,Re
11,8,1,Re
11,12,2,Kontra
11,3,3,Re
11,4,4,Kontra
12,3,1,Kontra
12,14,2,Re
12,15,3,Re
12,16,4,Kontra
13,3,1,Kontra
13,14,2,Re
13,15,3,Re
13,16,4,Kontra
14,1,1,Kontra
14,2,2,Re
14,4,3,Re
14,17,4,Kontra
15,1,1,Kontra
15,2,2,Re
15,4,3,Kontra
15,17,4,Re
16,18,1,Re
16,4,2,Re
16,19,3,Kontra
16,5,4,Kontra
17,4,1,Re
17,5,2,Re
17,19,3,Kontra
17,18,4,Kontra
18,20,1,Kontra
18,14,2,Kontra
18,4,3,Re
18,11,4,Kontra
19,20,1,Kontra
19,14,2,Re
19,4,3,Kontra
19,11,4,Re
20,20,1,Kontra
20,14,2,Kontra
20,4,3,Re
20,11,4,Re
21,3,1,Re
21,21,2,Re
21,17,3,Kontra
21,22,4,Kontra
22,3,1,Kontra
22,21,2,Kontra
22,17,3,Kontra
22,22,4,Re
23,3,1,Re
23,21,2,Kontra
23,17,3,Kontra
23,22,4,Re
24,3,1,Re
24,21,2,Re
24,17,3,Kontra
24,22,4,Kontra
25,17,1,Re
25,23,2,Kontra
25,24,3,Kontra
25,21,4,Re
26,17,1,Re
26,2,2,Re
26,1,3,Kontra
26,21,4,Kontra
