round_id,team_id,extra_point_id,count
6,6,6,1
7,9,3,1
9,4,4,1
9,11,3,1
10,4,2,1
11,8,4,1
11,12,3,1
15,4,4,1
15,17,3,1
21,3,3,1
21,21,3,1
26,1,3,1
26,17,4,1
27,21,3,1
31,25,3,1
32,27,3,1
34,4,3,1
34,21,3,1
36,28,3,1
36,28,4,1
37,4,4,1
37,21,3,1
37,21,6,1
39,4,3,1
39,21,3,1
41,2,4,1
43,4,3,1
44,6,3,1
44,10,3,1
45,1,4,1
45,10,3,1
45,31,3,1
46,4,3,1
46,21,3,1
48,4,3,1
50,2,4,1
50,4,3,1
53,32,3,1
54,2,2,1
54,2,3,1
55,2,3,1
55,14,3,1
56,1,3,1
56,33,6,1
57,2,3,1
58,1,3,1
58,1,6,1
68,1,3,1
68,31,3,1
69,1,3,1
69,2,3,1
69,20,4,1
71,31,2,1
72,2,3,1
73,11,4,1
74,1,3,1
74,31,2,1
75,31,2,1
76,3,4,1
79,31,3,1
80,3,4,1
80,31,4,1
83,1,3,1
83,1,4,1
84,1,4,1
84,3,3,1
84,3,4,1
85,4,1,1
86,4,2,1
86,4,3,1
89,4,3,1
90,11,3,1
97,11,3,1
98,14,1,1
99,1,3,1
99,11,3,1
100,1,3,1
100,1,4,1
100,11,3,1
101,14,3,1
102,1,3,1
102,17,3,1
104,21,1,1
104,37,2,1
107,38,4,1
109,13,3,1
111,13,4,1
111,39,3,1
113,14,4,1
113,26,3,1
114,1,3,1
115,1,4,1
115,2,3,1
115,21,3,1
117,1,2,1
119,1,3,1
119,40,3,1
120,1,3,1
120,1,4,1
120,5,4,1
122,5,3,1
122,5,4,1
124,1,4,1
124,5,3,1
125,5,3,1
125,5,4,1
126,17,3,1
126,23,3,1
128,13,3,1
129,16,3,1
129,17,3,1
130,13,3,1
130,28,3,1
131,28,4,1
131,43,3,1
132,26,3,1
133,1,2,1
133,1,4,1
134,45,3,1
134,45,4,1
135,44,3,1
135,45,4,1
137,5,6,1
138,45,3,1
139,5,4,1
140,32,4,1
140,38,3,1
144,46,3,1
145,11,2,1
145,25,2,1
147,25,2,1
147,25,3,1
147,25,4,1
148,23,4,1
149,21,3,1
149,48,2,1
149,48,4,1
151,49,2,1
151,49,4,1
152,23,4,1
153,2,3,1
155,2,3,1
156,21,4,1
159,1,6,1
159,2,3,1
160,26,4,1
162,4,4,1
166,12,3,1
167,2,3,1
168,3,3,1
168,3,4,1
169,1,4,1
176,51,3,1
177,14,4,1
178,14,4,1
178,14,6,1
181,1,3,1
184,3,3,1
186,57,3,1
188,57,4,1
193,4,2,1
193,4,3,1
197,2,3,1
197,2,6,1
200,2,4,1
200,4,3,1
201,17,3,1
203,1,4,1
204,17,3,1
205,1,3,1
215,21,4,1
216,2,4,1
216,2,6,1
216,16,3,1
216,16,4,1
217,1,3,1
219,25,4,1
222,10,3,1
225,3,3,1
227,40,4,1
228,21,3,1
230,14,4,1
230,32,3,1
230,34,3,1
233,21,5,1
234,21,6,1
235,2,3,1
235,4,3,1
236,11,3,1
236,11,4,1
238,1,3,1
238,1,4,1
239,1,4,1
239,2,3,1
240,11,3,1
241,4,4,1
242,1,4,1
243,3,3,1
243,3,4,1
243,55,4,1
248,1,3,1
249,1,4,1
252,21,3,1
256,49,4,1
258,58,3,1
261,16,2,1
261,16,4,1
261,16,6,1
263,1,4,1
264,2,6,1
265,3,3,1
266,3,3,1
270,1,3,1
271,25,4,1
271,25,6,1
275,1,4,1
277,60,3,1
278,11,4,1
278,11,6,1
285,3,3,1
285,12,3,1
289,49,6,1
290,2,3,1
290,11,1,1
292,1,3,1
292,2,4,1
292,11,2,1
295,23,4,1
297,3,3,1
297,17,3,1
298,55,3,1
299,57,3,1
300,26,3,1
300,55,4,1
302,57,4,1
303,42,3,1
309,34,3,1
309,35,2,1
310,1,3,1
310,1,4,1
310,3,3,1
311,3,3,1
312,34,3,1
312,34,4,1
312,35,1,1
313,34,3,1
314,3,3,1
315,3,4,1
318,2,3,1
319,2,3,1
319,3,4,1
320,1,3,1
322,33,3,1
323,28,4,1
323,28,6,1
