team_id,party
1,Re
2,Kontra
3,Kontra
4,Kontra
5,Kontra
6,Kontra
7,Kontra
8,Re
9,Re
10,Kontra
11,Re
12,Kontra
13,Re
14,Kontra
15,Kontra
16,Kontra
17,Re
18,Kontra
19,Kontra
20,Kontra
21,Kontra
22,Kontra
23,Re
24,Re
25,Re
26,Kontra
27,Re
28,Kontra
29,Kontra
30,Re
31,Kontra
32,Re
33,Re
34,Kontra
35,Kontra
36,Re
37,Kontra
38,Kontra
39,Re
40,Re
41,Re
42,Kontra
43,Re
44,Kontra
45,Kontra
46,Re
47,Re
48,Kontra
49,Kontra
50,Re
51,Re
52,Kontra
53,Kontra
54,Re
55,Re
56,Kontra
57,Kontra
58,Re
59,Kontra
60,Re
61,Re
62,Re
63,Kontra
64,Kontra
65,Re
66,Re
67,Kontra
68,Kontra
69,Kontra
70,Kontra
71,Re
72,Kontra
73,Kontra
74,Re
75,Kontra
76,Re
77,Kontra
78,Kontra
79,Re
80,Re
81,Re
82,Re
83,Kontra
84,Kontra
85,Kontra
86,Kontra
87,Kontra
88,Re
89,Re
90,Kontra
91,Kontra
92,Re
93,Re
94,Re
95,Kontra
96,Kontra
97,Re
98,Kontra
99,Kontra
100,Re
101,Re
102,Re
103,Kontra
104,Kontra
105,Kontra
106,Re
107,Re
108,Kontra
109,Kontra
110,Kontra
111,Kontra
112,Re
113,Kontra
114,Kontra
115,Re
116,Kontra
117,Kontra
118,Re
119,Kontra
120,Re
121,Re
122,Kontra
123,Re
124,Kontra
125,Re
126,Re
127,Kontra
128,Kontra
129,Re
130,Kontra
131,Re
132,Kontra
133,Re
134,Kontra
135,Kontra
136,Re
137,Kontra
138,Re
139,Kontra
140,Kontra
141,Kontra
142,Re
143,Re
144,Kontra
145,Re
146,Kontra
147,Re
148,Kontra
149,Re
150,Kontra
151,Re
152,Kontra
153,Kontra
154,Re
155,Kontra
156,Re
157,Kontra
158,Kontra
159,Re
160,Re
161,Re
162,Kontra
163,Kontra
164,Re
165,Kontra
166,Re
167,Re
168,Kontra
169,Kontra
170,Kontra
171,Re
172,Re
173,Kontra
174,Re
175,Re
176,Kontra
177,Kontra
178,Re
179,Kontra
180,Re
181,Kontra
182,Re
183,Re
184,Kontra
185,Re
186,Kontra
187,Kontra
188,Re
189,Re
190,Re
191,Kontra
192,Kontra
193,Kontra
194,Kontra
195,Re
196,Re
197,Re
198,Kontra
199,Re
200,Kontra
201,Re
202,Kontra
203,Kontra
204,Kontra
205,Re
206,Kontra
207,Re
208,Kontra
209,Kontra
210,Kontra
211,Re
212,Re
213,Re
214,Kontra
215,Re
216,Kontra
217,Kontra
218,Re
219,Re
220,Kontra
221,Re
222,Re
223,Kontra
224,Kontra
225,Re
226,Re
227,Kontra
228,Kontra
229,Re
230,Kontra
231,Kontra
232,Re
233,Kontra
234,Re
235,Kontra
236,Kontra
237,Kontra
238,Kontra
239,Re
240,Re
241,Kontra
242,Re
243,Re
244,Kontra
245,Re
246,Kontra
247,Re
248,Kontra
249,Kontra
250,Kontra
251,Re
252,Re
253,Kontra
254,Kontra
255,Kontra
256,Re
257,Kontra
258,Kontra
259,Re
260,Re
261,Kontra
262,Kontra
263,Re
264,Re
265,Kontra
266,Kontra
267,Re
268,Re
269,Re
270,Kontra
271,Kontra
272,Re
273,Kontra
274,Kontra
275,Re
276,Re
277,Re
278,Kontra
279,Kontra
280,Kontra
281,Kontra
282,Re
283,Re
284,Kontra
285,Re
286,Kontra
287,Re
288,Kontra
289,Kontra
290,Re
291,Kontra
292,Re
293,Re
294,Kontra
295,Re
296,Kontra
297,Re
298,Re
299,Kontra
300,Kontra
301,Re
302,Kontra
303,Re
304,Kontra
305,Kontra
306,Kontra
307,Re
308,Kontra
309,Re
310,Re
311,Kontra
312,Kontra
313,Re
314,Kontra
315,Kontra
316,Re
317,Kontra
318,Re
319,Re
320,Kontra
321,Re
322,Kontra
323,Kontra
324,Re
325,Re
326,Kontra
327,Re
328,Kontra
329,Kontra
330,Re
331,Re
332,Kontra
333,Re
334,Kontra
335,Re
336,Re
337,Re
338,Re
339,Kontra
340,Kontra
341,Re
342,Re
343,Kontra
344,Kontra
345,Re
346,Re
347,Kontra
348,Kontra
349,Re
350,Re
351,Kontra
352,Kontra
353,Kontra
354,Re
355,Kontra
356,Re
357,Kontra
358,Kontra
359,Re
360,Re
361,Kontra
362,Re
363,Re
364,Kontra
365,Kontra
366,Kontra
367,Kontra
368,Re
369,Re
370,Re
371,Kontra
372,Kontra
373,Re
374,Kontra
375,Re
376,Kontra
377,Kontra
378,Re
379,Kontra
380,Kontra
381,Kontra
382,Re
383,Kontra
384,Kontra
385,Re
386,Re
387,Kontra
388,Kontra
389,Kontra
390,Re
391,Kontra
392,Re
393,Re
394,Re
395,Kontra
396,Kontra
397,Re
398,Kontra
399,Re
400,Kontra
401,Re
402,Re
403,Kontra
404,Kontra
405,Kontra
406,Kontra
407,Re
408,Re
409,Kontra
410,Kontra
411,Re
412,Kontra
413,Re
414,Kontra
415,Kontra
416,Re
417,Re
418,Re
419,Kontra
420,Kontra
421,Re
422,Kontra
423,Kontra
424,Re
425,Kontra
426,Re
427,Re
428,Kontra
429,Kontra
430,Kontra
431,Re
432,Re
433,Kontra
434,Re
435,Kontra
436,Re
437,Re
438,Kontra
439,Re
440,Kontra
441,Re
442,Kontra
443,Kontra
444,Re
445,Kontra
446,Kontra
447,Re
448,Re
449,Re
450,Kontra
451,Kontra
452,Kontra
453,Kontra
454,Re
455,Re
456,Kontra
457,Kontra
458,Re
459,Kontra
460,Re
461,Kontra
462,Re
463,Re
464,Kontra
465,Re
466,Kontra
467,Kontra
468,Re
469,Kontra
470,Kontra
471,Kontra
472,Re
473,Kontra
474,Kontra
475,Re
476,Re
477,Re
478,Kontra
479,Re
480,Kontra
481,Kontra
482,Re
483,Kontra
484,Re
485,Re
486,Kontra
487,Kontra
488,Re
489,Re
490,Kontra
491,Re
492,Kontra
493,Kontra
494,Kontra
495,Re
496,Re
497,Kontra
498,Re
499,Kontra
500,Re
501,Kontra
502,Re
503,Re
504,Kontra
505,Re
506,Kontra
507,Kontra
508,Kontra
509,Kontra
510,Re
511,Kontra
512,Re
513,Re
514,Kontra
515,Kontra
516,Re
517,Kontra
518,Re
519,Kontra
520,Re
521,Re
522,Kontra
523,Kontra
524,Re
525,Kontra
526,Kontra
527,Re
528,Re
529,Kontra
530,Re
531,Re
532,Kontra
533,Re
534,Kontra
535,Re
536,Kontra
537,Re
538,Re
539,Kontra
540,Kontra
541,Re
542,Kontra
543,Kontra
544,Re
545,Re
546,Re
547,Kontra
548,Kontra
549,Re
550,Kontra
551,Kontra
552,Re
553,Kontra
554,Re
555,Kontra
556,Re
557,Kontra
558,Kontra
559,Re
560,Re
561,Kontra
562,Kontra
563,Re
564,Kontra
565,Kontra
566,Re
567,Re
568,Kontra
569,Kontra
570,Kontra
571,Re
572,Re
573,Kontra
574,Re
575,Kontra
576,Re
577,Kontra
578,Re
579,Kontra
580,Re
581,Kontra
582,Re
583,Kontra
584,Kontra
585,Re
586,Kontra
587,Kontra
588,Re
589,Re
590,Kontra
591,Re
592,Kontra
593,Re
594,Kontra
595,Kontra
596,Re
597,Kontra
598,Kontra
599,Kontra
600,Re
601,Re
602,Re
603,Kontra
604,Kontra
605,Re
606,Re
607,Kontra
608,Kontra
609,Kontra
610,Kontra
611,Re
612,Re
613,Kontra
614,Kontra
615,Re
616,Re
617,Kontra
618,Re
619,Re
620,Kontra
621,Kontra
622,Re
623,Kontra
624,Re
625,Re
626,Kontra
627,Re
628,Kontra
629,Kontra
630,Kontra
631,Re
632,Re
633,Re
634,Re
635,Kontra
636,Kontra
637,Re
638,Kontra
639,Kontra
640,Re
641,Kontra
642,Re
643,Re
644,Kontra
645,Re
646,Kontra
647,Kontra
648,Re
649,Re
650,Kontra
651,Re
652,Kontra
653,Re
654,Kontra
655,Kontra
656,Re
657,Re
658,Re
659,Kontra
660,Kontra
661,Re
662,Re
663,Kontra
664,Kontra
665,Re
666,Re
667,Kontra
668,Kontra
669,Re
670,Kontra
671,Kontra
672,Re
673,Kontra
674,Re
675,Re
676,Kontra
677,Re
678,Re
679,Kontra
680,Kontra
681,Kontra
682,Re
683,Kontra
684,Kontra
685,Re
686,Kontra
687,Re
688,Kontra
689,Re
690,Re
691,Kontra
692,Kontra
693,Kontra
694,Kontra
695,Re
696,Re
697,Kontra
698,Re
699,Re
700,Kontra
701,Kontra
702,Re
703,Kontra
704,Re
705,Kontra
706,Kontra
707,Re
708,Re
709,Kontra
710,Re
711,Kontra
712,Re
713,Kontra
714,Re
715,Kontra
716,Re
717,Re
718,Kontra
719,Kontra
720,Re
721,Re
722,Re
723,Kontra
724,Kontra
725,Re
726,Kontra
727,Kontra
728,Re
729,Kontra
730,Kontra
731,Kontra
732,Re
733,Kontra
734,Re
735,Kontra
736,Re
737,Kontra
738,Kontra
739,Re
740,Re
741,Re
742,Re
743,Kontra
744,Kontra
745,Kontra
746,Re
747,Re
748,Kontra
749,Kontra
750,Re
751,Re
752,Kontra
753,Re
754,Kontra
755,Kontra
756,Re
757,Kontra
758,Kontra
759,Kontra
760,Re
761,Re
762,Kontra
763,Kontra
764,Re
765,Re
766,Re
767,Kontra
768,Kontra
769,Kontra
770,Re
771,Re
772,Kontra
773,Kontra
774,Re
775,Re
776,Kontra
777,Re
778,Kontra
779,Kontra
780,Kontra
781,Kontra
782,Re
783,Kontra
784,Re
785,Kontra
786,Re
787,Re
788,Kontra
789,Kontra
790,Re
791,Kontra
792,Re
793,Kontra
794,Re
795,Re
796,Kontra
797,Re
798,Kontra
799,Kontra
800,Re
801,Kontra
802,Re
803,Kontra
804,Re
805,Re
806,Kontra
807,Kontra
808,Re
809,Kontra
810,Re
811,Re
812,Kontra
813,Kontra
814,Re
815,Re
816,Kontra
817,Re
818,Kontra
819,Re
820,Kontra
821,Kontra
822,Re
823,Kontra
824,Re
825,Kontra
826,Kontra
827,Kontra
828,Re
829,Kontra
830,Re
831,Kontra
832,Re
833,Re
834,Kontra
835,Kontra
836,Kontra
837,Kontra
838,Re
839,Kontra
840,Re
841,Kontra
842,Kontra
843,Re
844,Re
845,Kontra
846,Re
847,Kontra
848,Kontra
849,Kontra
850,Re
851,Kontra
852,Kontra
853,Re
854,Kontra
855,Re
856,Kontra
857,Re
858,Kontra
859,Kontra
860,Re
861,Kontra
862,Re
863,Kontra
864,Re
865,Re
866,Kontra
